uuid,fips,urbanicity,name,type,juvenile_type,operator,capacity,private_name,ice_active,num_facilities,twp,facility_name,address,city,zip,lat,lon,facility_name_2,address_2,city_2,zip_2,lat_2,lon_2,facility_name_3,address_3,city_3,zip_3,lat_3,lon_3,coj_adultm,coj_adultf,coj_juvm, coj_juvf,coj_totgender,adltjuv,state_doc,state_doc_twp,state_doc_total,out_of_state,federal,ice,pretrial,parish_hold,total_pop,map_jails,map_twp,map_private,map_prison,map_juvenile,est_doc_rev,GT_1000_beds_99,GT_1000_beds_19
11,22005,small/mid,Ascension Parish,Jail,,Sheriff,572,,0,1,0,Ascension Parish Jail,2384 Lemanville Cut Off Road,Donaldsonville,70346,30.098399,-90.9401919,,,,,,,,,,,,,447,54,1,0,502,1,75,0,75,0,13,0,277,16,381,1,0,0,0,0,722426.25,0,0
12,22007,rural,Assumption Parish,Jail,,Sheriff,125,,0,1,0,Assumption Parish Detention Center,108 Jail Complex Road,Napoleonville,70390,29.9382674,-91.0274993,,,,,,,,,,,,,106,4,1,0,111,1,30,0,30,0,0,0,84,1,115,1,0,0,0,0,288970.5,0,0
13,22009,rural,Avoyelles Parish,Jail,,Sheriff,438,,0,1,1,Avoyelles Marksville Detention Center,675 Government Street,Marksville,71351,31.1155788,-92.0668171,,,,,,,,,,,,,435,0,0,0,435,0,92,0,92,0,0,0,186,0,278,1,1,0,0,0,886176.2,1,0
14,22009,rural,Avoyelles Parish,Jail,,Sheriff,317,,0,2,1,Avoyelles Women's Correctional Center,641 Choupique Lane,Cottonport,71327,30.9755229,-92.0523758,Avoyelles Women's Transitional Work Program,640 Choupique Lane,Cottonport,71327,30.97575277,-92.0523388,,,,,,,0,215,0,0,215,0,35,6,41,0,0,0,53,1,95,1,1,0,0,0,363959.75,1,0
15,22009,rural,Avoyelles Parish,Prison,,State,1564,,0,1,0,Raymond Laborde Correctional Center,1630 Prison Road,Cottonport,71327,30.9744628,-92.0339652,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,1,0
16,22009,rural,Avoyelles Parish,Jail,,Sheriff,124,,0,1,0,Avoyelles Simmsport Detention Center,620 South Martin Luther King Drive,Simmsport,71369,30.9739327,-91.8114378,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,1,0
17,22009,rural,Avoyelles Parish,Juvenile,Secure,State,72,,0,1,0,Acadiana Center for Youth at Bunkie,1536 Bordelon Road,Bunkie,71322,30.93595326,-92.16487043,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,0
18,22011,rural,Beauregard Parish,Jail,,Sheriff,161,,0,1,0,Beauregard Parish Jail,412 Mayeaux Drive,DeRidder,70634,30.8432121,-93.283551,,,,,,,,,,,,,137,18,0,0,155,0,10,0,10,0,0,0,0,132,142,1,0,0,0,0,96323.5,0,0
19,22011,small/mid,Beauregard Parish,TWP Facility,,Private,700,"Louisiana Workforce, LLC",0,1,0,Southwest Transitional Work Program,14925 Highway 27,Dequincy,70633,30.49586438,-93.43523898,,,,,,,,,,,,,,,,,,,491,232,723,0,0,0,118.8,0,723,0,0,0,0,0,5766813.85,0,0
20,22013,rural,Bienville Parish,Jail,,Sheriff,44,,0,1,0,Bienville Parish Jail,100 Courthouse Drive,Arcadia,71001,32.547127,-92.9253205,,,,,,,,,,,,,43,0,1,0,44,1,9,0,9,0,0,0,14,1,24,1,0,0,0,0,86691.15,0,0
